nft_receiver,team,raw_amount,amount,block_time,tx_hash
\x273d4e93eeef5a494206c072fff70f6ea7d7afc4,Team C,1.00E+24,1000000,2022-05-06 13:18,\x5a365771d25b3223db1f43188644bd8d7cc82302f6a9e20a877422f837421750
\x77f7f8c188b3590ffa6426536b199fd84416d667,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x765ce21d34164b4ef7b362c3835f60a711b5f554,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x75627e9cd1af20f0cac03d127fbd0653d906c3b6,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x7342e456947e56250d2851ff467fa7743ccd9fbf,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x73018f39c3b9652601ea12bd7f42f3f921198c4a,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x730032e237da98b513203477fae4fa3b9b34836c,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x726d07ea7b1983f35055bb288af78e7480bd1242,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x70e7f221951441b5fbb5b633927790be4528ac08,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x708d15d6b33b588a38fc9a822ea52b4a4c0f2894,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6fb3071447c444e51f7b282a76f06f811e21d3ec,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6f25320321e0fcc6cefea38c8504f127812ef7ad,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6e2a2acc7253d38e0891f439a9815bed3771e305,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6d6ed67479d02d63a4a0f111a6d76ff93bb2d23d,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6c9228b29795802374855eb8be3a086aa11a5aa5,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6c74be8d04fa2243ecdec2a28253719d5710bc81,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6c00522bd7f6253cd002c02a6bee95c8c775da45,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6bcfb1f96a3d270f00deab39fd50e78096576113,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6b73f2b5ddf22a3e190893bbd83e2f0a882a7dac,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6af6d4c57b3d48d614ecc52f6c25242783dec71a,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6aeea1aee1559640b066fd2b49933987a4267f5f,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6a9ee69b6781c18164ee9f7c58f1763bcffc7c51,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x697d13930a51a7a9dede42e48fcb0b7043918917,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x687670e9c58526d673aa22d6ab355d952819afdf,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x67759ab4d897093deb1c036e74824df0f75fdfe4,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x664fd1a25eca57a02cc1d8249dee839b9fd7f755,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x66342cdb636aba7b1ccc2f95efabbc7ba3b1947d,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6629db6b40057e29d0593d895a350df94dc1e99a,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x65c13724928ea0afa68e09c7b70449bb8f6f3fc8,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x65a7de07f2df7564421b3a942cb0699b357b91ce,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x639fad44e324329a726cc1845a4b7f3ab2ac1dab,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6339a73610969b50f0b91122bb90e231046b112f,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x62ec589cc2a82816599a7c6f9d145a62d90c17cb,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x62c3852419a71d70ff05fdef83cddabde533b3e4,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x621bc3df852e42e04196bc150d5ae92dc11d4d8e,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x617c716cd4eef3d20d5a0cacac9518647bb19173,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x616c9f0aaa13d3587b9fe6f513df62522f7d900c,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x6131b31607dc3e26fc28e46fa21b958c2b2b215e,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5fe9a92531fe648666551a6cbae2a7b817249c52,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5fb811a8bbcaf5f9d9b503ee045e25ad7e3d90f4,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5de853cb6813f9aefd25635776139d8c0aaaf77a,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5dbd467fed615a72ef9abd63f969fe4856f0c9d6,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5d0cbf3abc8701706b36179bcdb0409aa1e44640,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5cfc0af2db55938b879c5be94d0cd860ec2db029,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5bffcd8f4809e29bcace4c9c21e0c3b6963ecec1,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5b9f0eef7bfbd54ba21cd7409bbdfef12136421a,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5a154e29580fddc7f22241eb72066bc25b405044,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x580e63816efc25f4effb6cc4386f766ba33dca2c,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x56d53a4402a7b8f4ad027cfb421ff60e865f665b,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x56b64647b164cab358263ac6be9b418f64ec0709,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x56ade75750b3b0f7629e77869b178e2edd360f29,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x559f046932523496a9e8a22372121936706f5633,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x557364ba5df09db866cb81578d14a91698296f7c,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x542af4dda22ae22bae41ea32fafcfb6af00d8ac5,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x517e6e444fb0e565cf07597e8fc692b2c05e8bda,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x508f1b6c5eb1e0f9d48795c848d87288bae13a46,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x5055deface85f86112e31a2b9694e1f0e9e23961,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4fe6b9c2f4f42cc96ac38d7e7404a876e18879d5,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4ebe8dddbeac2dea6dfbb77d48a4d84c96d2dcf1,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4eb68ecf77639e64c9ed0826978940fec1be9f3f,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4d8bd62c7cb6769795410c5d1209cc09bfe16c60,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4cf5db7f72766df7fa9495f5afb1e0b4a94c3978,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4b554240d58a9d75326f8031b7087903034e66fc,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4a60a526c642ce63cf3af8ff68b3f5f222611fbe,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4a2dd4b190b6dee6939709278b659ed5ffcb9d92,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x489ef5fc27e7bbfa4cfa1c8d5ec197da3d1bae54,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x4614267ee9e61ed08b91607f90ab9553eba2a559,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x45e89079fa328095804e37f9cccec43780326c3b,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\x446a3e8dea79f232ebf35010b39578c30c8e7f94,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xff79ad62d19066e43b99eed19f94e11b0e0b5688,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xff78bad7f3fefbf552a2978e1455d0126da9ba76,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xff659f9c29d69a078f0d868ceb18e9c6e7d8f4fe,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfed242184ba67298d7c0e7c228da4512abcf5e94,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfea310e868466201e881866e75232e1bc2b86e0c,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfdd4186383fafd6bd41d0c59ed84708dfde004ff,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfd3719bef669f5cebbda47b69e7814cf413e9517,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfc97910e9200189265d759d80f25c4f0c691330d,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfc744e67dc1d3ef15e014c13ab3d86fe3d2e18ae,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfc5b2d51fd03b13bf440eb9e0c7b1d94b1b77bb9,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xfbb86b509a1f6b8f94ed8a40b880ca4272c96506,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf9f2abcc9df889794b60f0791a784f5a97d32920,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf89be918c3d9989dd1e454bd21e1fc3afb7e6eeb,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf84b9e57628da8a8167c0f84c266f70ec0863510,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf7e74a9a394226058e14bfc17deafdb76eebbb25,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf7c6382da0a3ee08ad4c201b01e33e122600ab6f,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf7af0b2277a6caa0d8a3a1b1ea21f5c6e13dca74,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf772db956ffb322654b56839899c7f67125cf3f5,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf70187689247683018200780fd1418fb3de20d67,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf455324f5112f4370d30a36de2af8255d61d391c,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf422cf49eb49d93ad6952db28117849bcf44024d,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf3551c1d8ac61569e482abc05eefae4cccef32c1,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf331f8cbcd9100292258d2a1986a4a2e7435e453,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf3062faaa61cd4ee6e8705135a3bc6419cd766b2,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf1fa3853cbaabdb71374d4a3ca9a8cb6ef6d7cd1,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf0cbf1b2d0888e744005f5d603a03a5c4adc31c3,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xf07ffbaf4a7999fffab3ddb47e7f74364b6fd578,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xefc2d75947db60f1f3c5e6a87d60e5263a70dba4,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xefa168d4231b1ed0711260360647db6281c1ebbb,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xed534f3f4cdf9df19c3082189964e5e8d162d862,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xeb4872b4c995f6613077090438eae69cfeff142f,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe99dc1864b1bea3efd8b87d5cec5b7b65ff23379,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe876380454f0f501021f38cc82ce545710812d0a,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe80088863766aee6d80e2ff6c85a9187f6dd85a6,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe76a6619581dd7122bc127a6f018ba035b182aaa,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe7228e5631bfd293288dc8efd5fc2403e581de2e,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe6388e11b9b27e9a0d48e7de6ed8314fbf14074f,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe4a050f884187169444ae33dd0cc557146437d79,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe456ff3e321be2675a5aeb56b3623586254c3419,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe4126fd057ab2fc08b6ce2621de4c3bc56464101,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe347d593d62be9d012448f9f7adf6e24954267d5,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe2f3c30b753f71bdbf1258d6e09fd3d2adf549db,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe222e11129a5fefdebcc0572a10a6deacc35e6c0,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe1da425d1880d3243f9dfd3c9c2c3f09e73acd6d,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xe000adb6f47c7461694bcb69bf51bab8087d819d,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xde6f17794861e1e13104285cd2dabfc478bfb679,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xde5701c91e479888878f9aebf1decc0b10d88cb5,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xddf8eb9abe01c6baf5f1308a3173a69f95fa6ce2,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xddc570bafd31c4a3545a3d742b9d022e78a9cb7f,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xdaf08467be187fdad0db1df64b8cbd20f60ab370,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xda615562970f622b1e174b335c9e3b2a96264b14,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xd944633d12e0ecf7e88d6b6248bc192d2e24226d,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
\xd8b00122b6cc0d44fb3198fb675635272d516b7f,Team A,1E+20,100,2022-05-06 14:54,\x5de2508f3a79abc1769bb2c085ad03b36432999f3ef050373b12811422f79768
