account,lower_block,upper_block,unreleased
\x0051437667689b36f9cfec31e4f007f1497c0f98,13102715,13102716,2400000.00000000000000000000000000000000
\x0051437667689b36f9cfec31e4f007f1497c0f98,13102716,29003915,1800000.00000000000000000000000000000000
\x0051437667689b36f9cfec31e4f007f1497c0f98,29003915,44638715,1200000.00000000000000000000000000000000
\x0051437667689b36f9cfec31e4f007f1497c0f98,44638715,60539915,600000.00000000000000000000000000000000
\x0051437667689b36f9cfec31e4f007f1497c0f98,60539915,,0.00000000000000000000000000000000
\x0ddae82c2080aae8e57814e5636dbbfa775be929,13102715,13102716,785875.04467833300000000000000000000000
\x0ddae82c2080aae8e57814e5636dbbfa775be929,13102716,29003915,589406.28350874975000000000000000000000
\x0ddae82c2080aae8e57814e5636dbbfa775be929,29003915,44638715,392937.52233916650000000000000000000000
\x0ddae82c2080aae8e57814e5636dbbfa775be929,44638715,60539915,196468.76116958325000000000000000000000
\x0ddae82c2080aae8e57814e5636dbbfa775be929,60539915,,0.00000000000000000000000000000000
\x1d216b8706be76f7906eb5872835ce5567fd2ef5,13102715,13102716,2947429.10866667000000000000000000000000
\x1d216b8706be76f7906eb5872835ce5567fd2ef5,13102716,29003915,2210571.83150000250000000000000000000000
\x1d216b8706be76f7906eb5872835ce5567fd2ef5,29003915,44638715,1473714.55433333500000000000000000000000
\x1d216b8706be76f7906eb5872835ce5567fd2ef5,44638715,60539915,736857.27716666750000000000000000000000
\x1d216b8706be76f7906eb5872835ce5567fd2ef5,60539915,,0.00000000000000000000000000000000
\x2869daeb6298e2df78f7a19535d24ecc5c6f85a2,13102715,13102716,395416.95440000000000000000000000000000
\x2869daeb6298e2df78f7a19535d24ecc5c6f85a2,13102716,29003915,296562.71580000000000000000000000000000
\x2869daeb6298e2df78f7a19535d24ecc5c6f85a2,29003915,44638715,197708.47720000000000000000000000000000
\x2869daeb6298e2df78f7a19535d24ecc5c6f85a2,44638715,60539915,98854.23860000000000000000000000000000
\x2869daeb6298e2df78f7a19535d24ecc5c6f85a2,60539915,,0.00000000000000000000000000000000
\x35a79017da727fcb29060dd5901f90b027eaca23,13102715,13102716,445407.34325000000000000000000000000000
\x35a79017da727fcb29060dd5901f90b027eaca23,13102716,29003915,334055.50743750000000000000000000000000
\x35a79017da727fcb29060dd5901f90b027eaca23,29003915,44638715,222703.67162500000000000000000000000000
\x35a79017da727fcb29060dd5901f90b027eaca23,44638715,60539915,111351.83581250000000000000000000000000
\x35a79017da727fcb29060dd5901f90b027eaca23,60539915,,0.00000000000000000000000000000000
\x387c50f4767b04e7a41f0c365b9d563ae787ec40,13102715,13102716,883222.39690000000000000000000000000000
\x387c50f4767b04e7a41f0c365b9d563ae787ec40,13102716,29003915,662416.79767500000000000000000000000000
\x387c50f4767b04e7a41f0c365b9d563ae787ec40,29003915,44638715,441611.19845000000000000000000000000000
\x387c50f4767b04e7a41f0c365b9d563ae787ec40,44638715,60539915,220805.59922500000000000000000000000000
\x387c50f4767b04e7a41f0c365b9d563ae787ec40,60539915,,0.00000000000000000000000000000000
\x46fae3c5553ed70dabdee1aae917faf64250e806,13102715,13102716,1195728.80360000000000000000000000000000
\x46fae3c5553ed70dabdee1aae917faf64250e806,13102716,29003915,896796.60270000000000000000000000000000
\x46fae3c5553ed70dabdee1aae917faf64250e806,29003915,44638715,597864.40180000000000000000000000000000
\x46fae3c5553ed70dabdee1aae917faf64250e806,44638715,60539915,298932.20090000000000000000000000000000
\x46fae3c5553ed70dabdee1aae917faf64250e806,60539915,,0.00000000000000000000000000000000
\x50ce06ab2404c72fbd57620ea8aa0e282065a831,13102715,13102716,1052279.13560000000000000000000000000000
\x50ce06ab2404c72fbd57620ea8aa0e282065a831,13102716,29003915,789209.35170000000000000000000000000000
\x50ce06ab2404c72fbd57620ea8aa0e282065a831,29003915,44638715,526139.56780000000000000000000000000000
\x50ce06ab2404c72fbd57620ea8aa0e282065a831,44638715,60539915,263069.78390000000000000000000000000000
\x50ce06ab2404c72fbd57620ea8aa0e282065a831,60539915,,0.00000000000000000000000000000000
\x7c28a20a66d687107dfa810566f237fb3810cbf4,13102715,13102716,741391.55158333300000000000000000000000
\x7c28a20a66d687107dfa810566f237fb3810cbf4,13102716,29003915,556043.66368749975000000000000000000000
\x7c28a20a66d687107dfa810566f237fb3810cbf4,29003915,44638715,370695.77579166650000000000000000000000
\x7c28a20a66d687107dfa810566f237fb3810cbf4,44638715,60539915,185347.88789583325000000000000000000000
\x7c28a20a66d687107dfa810566f237fb3810cbf4,60539915,,0.00000000000000000000000000000000
\x7f9034f39bb32494f0e77de0a29803ff675d835a,13102715,13102716,1642525.26661667000000000000000000000000
\x7f9034f39bb32494f0e77de0a29803ff675d835a,13102716,29003915,1231893.94996250250000000000000000000000
\x7f9034f39bb32494f0e77de0a29803ff675d835a,29003915,44638715,821262.63330833500000000000000000000000
\x7f9034f39bb32494f0e77de0a29803ff675d835a,44638715,60539915,410631.31665416750000000000000000000000
\x7f9034f39bb32494f0e77de0a29803ff675d835a,60539915,,0.00000000000000000000000000000000
\x83f097475c0d5feaaea43cd42781d4313611a0d9,13102715,13102716,3827594.36772222000000000000000000000000
\x83f097475c0d5feaaea43cd42781d4313611a0d9,13102716,29003915,2870695.77579166500000000000000000000000
\x83f097475c0d5feaaea43cd42781d4313611a0d9,29003915,44638715,1913797.18386111000000000000000000000000
\x83f097475c0d5feaaea43cd42781d4313611a0d9,44638715,60539915,956898.59193055500000000000000000000000
\x83f097475c0d5feaaea43cd42781d4313611a0d9,60539915,,0.00000000000000000000000000000000
\x871f8894f148e8e1a73e1d4cba25bda88005296b,13102715,13102716,982492.50888888900000000000000000000000
\x871f8894f148e8e1a73e1d4cba25bda88005296b,13102716,29003915,736869.38166666675000000000000000000000
\x871f8894f148e8e1a73e1d4cba25bda88005296b,29003915,44638715,491246.25444444450000000000000000000000
\x871f8894f148e8e1a73e1d4cba25bda88005296b,44638715,60539915,245623.12722222225000000000000000000000
\x871f8894f148e8e1a73e1d4cba25bda88005296b,60539915,,0.00000000000000000000000000000000
\x8b90b067d02132fc7c5cdf64b8cac04d55abc2b2,13102715,13102716,654643.14297750000000000000000000000000
\x8b90b067d02132fc7c5cdf64b8cac04d55abc2b2,13102716,29003915,0.00000000000000000000000000000000
\x8b90b067d02132fc7c5cdf64b8cac04d55abc2b2,29003915,44638715,0.00000000000000000000000000000000
\x8b90b067d02132fc7c5cdf64b8cac04d55abc2b2,44638715,60539915,0.00000000000000000000000000000000
\x8b90b067d02132fc7c5cdf64b8cac04d55abc2b2,60539915,,0.00000000000000000000000000000000
\x923d0061cd480644c9019e3aa6cec3bc8b312ecb,13102715,13102716,1924714.17020000000000000000000000000000
\x923d0061cd480644c9019e3aa6cec3bc8b312ecb,13102716,29003915,1443535.62765000000000000000000000000000
\x923d0061cd480644c9019e3aa6cec3bc8b312ecb,29003915,44638715,962357.08510000000000000000000000000000
\x923d0061cd480644c9019e3aa6cec3bc8b312ecb,44638715,60539915,481178.54255000000000000000000000000000
\x923d0061cd480644c9019e3aa6cec3bc8b312ecb,60539915,,0.00000000000000000000000000000000
\xa8059754bc0337408b376851f4ee7a3ca9be3ffd,13102715,13102716,1494660.02616667000000000000000000000000
\xa8059754bc0337408b376851f4ee7a3ca9be3ffd,13102716,29003915,1120995.01962500250000000000000000000000
\xa8059754bc0337408b376851f4ee7a3ca9be3ffd,29003915,44638715,747330.01308333500000000000000000000000
\xa8059754bc0337408b376851f4ee7a3ca9be3ffd,44638715,60539915,373665.00654166750000000000000000000000
\xa8059754bc0337408b376851f4ee7a3ca9be3ffd,60539915,,0.00000000000000000000000000000000
\xae8ce6bb2b95684f57c097b407f4e9b55d9ca432,13102715,13102716,4146073.23885750000000000000000000000000
\xae8ce6bb2b95684f57c097b407f4e9b55d9ca432,13102716,29003915,3109554.92914312500000000000000000000000
\xae8ce6bb2b95684f57c097b407f4e9b55d9ca432,29003915,44638715,2073036.61942875000000000000000000000000
\xae8ce6bb2b95684f57c097b407f4e9b55d9ca432,44638715,60539915,1036518.30971437500000000000000000000000
\xae8ce6bb2b95684f57c097b407f4e9b55d9ca432,60539915,,0.00000000000000000000000000000000
\xc08de9d8834b3ee012d684db239bf7868c818327,13543917,29445117,1963929.42893000000000000000000000000000
\xc08de9d8834b3ee012d684db239bf7868c818327,29445117,45079917,1309286.94059647631000000000000000000000
\xc08de9d8834b3ee012d684db239bf7868c818327,45079917,60981117,654644.45226295262000000000000000000000
\xc08de9d8834b3ee012d684db239bf7868c818327,60981117,,0.00000000000000000000000000000000
\xc1efc49285eb5deda2ac887d613242475ed15048,13102715,13102716,1473822.60850000000000000000000000000000
\xc1efc49285eb5deda2ac887d613242475ed15048,13102716,29003915,1105366.95637500000000000000000000000000
\xc1efc49285eb5deda2ac887d613242475ed15048,29003915,44638715,736911.30425000000000000000000000000000
\xc1efc49285eb5deda2ac887d613242475ed15048,44638715,60539915,368455.65212500000000000000000000000000
\xc1efc49285eb5deda2ac887d613242475ed15048,60539915,,0.00000000000000000000000000000000
\xe3db7b04c5b761a38a5d46adf68f5c213048c1ae,13102715,13102716,1052279.00000000000000000000000000000000
\xe3db7b04c5b761a38a5d46adf68f5c213048c1ae,13102716,29003915,789209.25000000000000000000000000000000
\xe3db7b04c5b761a38a5d46adf68f5c213048c1ae,29003915,44638715,526139.50000000000000000000000000000000
\xe3db7b04c5b761a38a5d46adf68f5c213048c1ae,44638715,60539915,263069.75000000000000000000000000000000
\xe3db7b04c5b761a38a5d46adf68f5c213048c1ae,60539915,,0.00000000000000000000000000000000
\xe5827d6d7169a87b4c241a5973722f1dda6b5c0d,13102715,13102716,1635531.19436667000000000000000000000000
\xe5827d6d7169a87b4c241a5973722f1dda6b5c0d,13102716,29003915,1226648.39577500250000000000000000000000
\xe5827d6d7169a87b4c241a5973722f1dda6b5c0d,29003915,44638715,817765.59718333500000000000000000000000
\xe5827d6d7169a87b4c241a5973722f1dda6b5c0d,44638715,60539915,408882.79859166750000000000000000000000
\xe5827d6d7169a87b4c241a5973722f1dda6b5c0d,60539915,,0.00000000000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,13102715,13102716,1485880.50750000000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,13102716,29003915,1114410.38062500000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,29003915,44638715,742940.25375000000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,44638715,60539915,371470.12687500000000000000000000000000
\xe5da485b501c22a827fdc5589ef061c11055c16d,60539915,,0.00000000000000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,13102715,13102716,1666666.66666667000000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,13102716,29003915,1250000.00000000250000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,29003915,44638715,833333.33333333500000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,44638715,60539915,416666.66666666750000000000000000000000
\xe7521950426479d525381940604d27aec12fe97a,60539915,,0.00000000000000000000000000000000
